gene,log fold change,p-value,adjusted p-value,cluster
SOCS3,-2.9494293,3.077491222894631e-88,1.8728557143312946e-86,Fib1
MRPS6,-1.1073681,9.15003716427868e-90,5.635758777595033e-88,Fib1
NRP1,-1.5845466,7.343548059863918e-90,4.5414047212316334e-88,Fib1
HES1,-1.9646221,4.3421140183424883e-91,2.7294564456864817e-89,Fib1
COL18A1,-2.3881335,9.650133334721449e-92,6.0911482102425685e-90,Fib1
TMEM176A,-1.4636343,4.048218393912431e-92,2.565831367925825e-90,Fib1
SPON1,-1.7681367,8.566235810363967e-94,5.474864100556887e-92,Fib1
COL4A2,-1.7332513,2.6331332469740228e-95,1.6970932636087847e-93,Fib1
RPS17,-0.5169861,1.3533327083534236e-95,8.796662604297253e-94,Fib1
ZFAS1,-0.8268315,2.7042922584988417e-96,1.7653018909645216e-94,Fib1
RPS10,-0.7066515,1.773363746785858e-97,1.1625807395774242e-95,Fib1
IGF1,-2.0164764,1.708267775948005e-97,1.1247323395519731e-95,Fib1
TPM2,-2.303125,1.5411540698859546e-97,1.0190964682903878e-95,Fib1
SLC25A6,-1.9064115,6.770152878480806e-98,4.496264574730188e-96,Fib1
RPSA,-1.9938294,5.195237580253506e-102,3.495914274818163e-100,Fib1
GPC3,-1.2503792,3.907893837062222e-102,2.6412866531471434e-100,Fib1
RARRES2,-1.6715267,1.9832084246516076e-102,1.3463781638468136e-100,Fib1
NFKBIA,-1.2057326,6.021803717200545e-106,4.200139350695814e-104,Fib1
HSP90AB1,-0.62988824,1.0410739022380482e-107,7.396466910086599e-106,Fib1
RPL23,-0.43190467,2.625730448126687e-108,1.8742071306137918e-106,Fib1
EGR1,-1.7673459,1.1106348502681104e-112,8.040259401822458e-111,Fib1
GADD45B,-1.8600426,6.3269295332262585e-114,4.602088029525291e-112,Fib1
HSPA1A,-1.2563874,1.726919692887199e-114,1.2621386750646875e-112,Fib1
CYR61,-1.3959825,1.3646805291163307e-114,1.0021872635698054e-112,Fib1
RPL38,-0.5467814,6.129772181820548e-116,4.5232980713675786e-114,Fib1
EEF1B2,-0.81935364,3.896079412031698e-116,2.8889617970283587e-114,Fib1
RPS11,-0.42635506,7.086291631076779e-117,5.280151447058429e-115,Fib1
PTN,-1.9263946,2.216367680119659e-117,1.6595596232268525e-115,Fib1
MDK,-2.2227504,2.334668641324767e-118,1.7567518963662965e-116,Fib1
TMEM176B,-1.4956299,5.0744555708359683e-123,3.95470963492446e-121,Fib1
PABPC1,-0.7908663,9.183604515124541e-125,7.3062270296108e-123,Fib1
SNHG8,-1.3360527,5.397694074908045e-125,4.316742251006303e-123,Fib1
IER2,-2.1990223,1.5942398756877938e-127,1.281684952691108e-125,Fib1
COL4A1,-2.3014712,3.5941701494747614e-128,2.9048121181601578e-126,Fib1
RPL3,-2.0887341,1.7978954206114015e-130,1.4607900292467638e-128,Fib1
LAMB1,-1.8210093,8.487937393548813e-131,6.933328539382787e-129,Fib1
NOP53,-0.95935005,8.402064017073834e-131,6.900082143053915e-129,Fib1
APCDD1,-2.258706,1.544520538367252e-136,1.3106972901977653e-134,Fib1
RPL7,-1.8713448,2.8855555054586435e-139,2.4762281093191453e-137,Fib1
CIRBP,-0.9571046,3.7492643708854786e-140,3.235593969789587e-138,Fib1
